plate,jan_rod,jan_badge,apr_rod,apr_badge
Hs-1,R-722,XA00788990X,R-770,XA008845081
Y-1,R-706,XA005424599,R-748,XA028866017
Hs-2,R-723,XA02712302U,R-769,XA00922220Y
Y-3,R-711,XA00343453M,R-785,XA01255380M
Hs-3,R-704,XA02448016I,R-755,XA018655454
Hs-4,R-688,XA00758581A,R-741,XA01045544I
Y-4,R-696,XA02325654E,R-766,XA02902414N
Y-5,R-712,XA02263060S,R-752,XA00870560H
Hs-5,R-724,XA00690994W,R-750,XA010897335
Y-6,R-734,XA016207976,R-776,XA01967872Y
Hn-6,R-691,XA01834138E,R-749,XA00341631Q
Hs-6,R-738,XA01184002S,R-794,XA04194905W
Hs-7,R-709,XA00347771E,R-753,XA01418404N
Y-7,R-710,XA002784748,R-796,XA006823956
Hn-8,R-695,XA00822408H,R-778,XA000990587
Y-9,R-708,XA01438948X,R-787,XA00675117D
Hn-9,R-687,XA00201372Z,R-789,XA02138316H
Hn-10,R-739,XA00542333P,R-786,XA01153486B
Y-10,R-726,XA000948437,R-756,XA019831748
Hs-10,R-686,XA02484709V,R-765,XA01674699Q
Hn-11,R-740,XA01545170Q,R-773,XA02903663F
Y-11,R-701,XA009982353,R-757,XA00833246I
Hn-12,R-719,XA00803088K,R-782,XA01509971C
Y-12,R-707,XA008617175,R-742,XA00739768X
Hs-12,R-692,XA021955651,R-799,XA01146103U
Y-13,R-683,XA01116950L,R-763,XA012597660
Hs-13,R-694,XA005647159,R-751,XA00941309D
Hs-14,R-693,XA01010145Z,R-793,XA029057475
Y-15,R-716,XA00576889O,R-790,XA02534296B
Hs-15,R-700,XA008555937,R-767,XA02225799Z
Hn-15,R-703,XA00568241K,R-747,XA02730923C
Hn-16,R-729,XA02276344B,R-783,XA00738050T
Hs-16,R-727,XA022945536,R-795,XA01919262J
Y-16,R-685,XA007804369,R-744,XA02435949W
Hn-17,R-713,XA01089004K,R-779,XA00798647S
Hs-17,R-718,XA03481378Z,R-760,XA00181225L
Y-17,R-697,XA00841262O,R-746,XA005564577
Y-18,R-715,XA003438592,R-791,XA02584865U
Hs-18,R-721,XA025359841,R-761,XA02898988B
Hn-18,R-735,XA010035004,R-772,XA02788041E
Y-19,R-682,XA005386690,R-764,XA02228302R
Hn-19,R-736,XA01819758Z,R-768,XA00698736U
Hs-20,R-737,XA01094391E,R-792,XA00922952D
Hn-20,R-689,XA01118914F,R-745,XA02475363A
Y-20,R-698,XA007528927,R-754,XA01769201J
Y-21,R-733,XA01800162X,R-788,XA00835394D
Y-22,R-730,XA00078083J,R-743,XA02376172F
Y-23,R-681,XA01359204J,R-784,XA018983706
Y-24,R-705,XA021953192,R-758,XA00993687R
Y-25,R-690,XA02833887W,R-777,XA009257087
Y-26,R-717,XA02551613G,R-800,XA00024527L
Y-30,R-702,XA00773767X,R-759,XA02823325I
Y-32,R-699,XA01137376E,R-762,XA006556466
Y-34,R-714,XA01802805H,R-775,XA024862184
Y-36,R-725,XA02444336E,R-771,XA00230973G
Hn-37,R-731,XA008449932,R-780,XA00632942F
Y-38,R-728,XA02140783E,R-797,XA008571959
Y-39,R-684,XA011296859,R-798,XA00266261N
Hn-39,R-720,XA00024736I,R-774,XA020465958
Y-40,R-732,XA01278344B,R-781,XA02811672H
