rod_id,rod_num,population,plate,low_600_krad,high_600_krad,in_valid_range,n_low_readings,n_high_readings,c1_gamma_gy,c1_neutron_rem
R-636,636,other,Y-39,3.655,11.820,yes,2,2,69.7,15.0
R-681,681,C1-final,Y-23,2.293,10.638,yes,2,2,41.9,31.8
R-682,682,C1-final,Y-19,1.559,9.219,no,2,2,941.3,3282.1
R-683,683,C1-final,Y-13,2.219,10.401,yes,2,2,30.0,24.0
R-684,684,C1-final,Y-39,2.655,11.288,yes,2,2,69.7,15.0
R-685,685,C1-final,Y-16,1.889,8.214,no,2,1,15837.4,105445.8
R-686,686,C1-final,Hs-10,1.218,8.687,no,2,2,889.5,31.2
R-687,687,C1-final,Hn-9,1.655,8.568,no,2,2,27.3,27.4
R-688,688,C1-final,Hs-4,1.484,7.918,no,2,2,0.3,1027.5
R-689,689,C1-final,Hn-20,1.208,9.514,no,2,2,5295.1,34485.3
R-690,690,C1-final,Y-25,1.527,9.987,no,2,2,1516.3,8.7
R-691,691,C1-final,Hn-6,0.357,8.982,no,2,2,13180.4,87867.8
R-692,692,C1-final,Hs-12,2.282,9.692,yes,2,2,18.1,16.3
R-693,693,C1-final,Hs-14,1.304,9.751,no,2,2,2668.8,16.8
R-694,694,C1-final,Hs-13,1.133,8.627,no,2,2,4902.4,32318.0
R-695,695,C1-final,Hn-8,1.336,8.509,no,2,2,13.1,22.3
R-696,696,C1-final,Y-4,1.272,7.682,no,2,2,8.6,54.2
R-697,697,C1-final,Y-17,1.346,8.568,no,2,2,7111.0,47406.7
R-698,698,C1-final,Y-20,0.282,8.095,no,2,2,1.1,19.3
R-699,699,C1-final,Y-32,2.453,9.100,yes,2,2,348.9,30.1
R-700,700,C1-final,Hs-15,0.921,8.450,no,2,2,11749.4,78349.1
R-701,701,C1-final,Y-11,1.048,9.692,no,2,2,517.1,21.2
R-702,702,C1-final,Y-30,1.336,8.332,no,2,2,22101.6,147342.6
R-703,703,C1-final,Hn-15,0.974,9.455,no,2,2,21589.6,143930.8
R-704,704,C1-final,Hs-3,1.697,9.337,no,2,2,284.9,19.9
R-705,705,C1-final,Y-24,0.431,8.509,no,2,2,6299.3,41250.9
R-706,706,C1-final,Y-1,1.495,8.273,no,2,2,14714.0,98091.7
R-707,707,C1-final,Y-12,1.995,8.568,no,2,2,0.3,1028.4
R-708,708,C1-final,Y-9,2.346,10.165,yes,2,2,1640.3,10.1
R-709,709,C1-final,Hs-7,0.431,8.923,no,2,2,7.8,2034.2
R-710,710,C1-final,Y-7,1.868,10.224,no,2,2,472.1,19.8
R-711,711,C1-final,Y-3,1.250,8.864,no,2,2,17.3,21.8
R-712,712,C1-final,Y-5,0.282,8.805,no,2,2,37.0,49.2
R-713,713,C1-final,Hn-17,1.336,10.046,no,2,2,537.0,18.8
R-714,714,C1-final,Y-34,0.995,9.514,no,2,2,502.2,9.2
R-715,715,C1-final,Y-18,1.538,11.229,no,2,2,678.1,27.3
R-716,716,C1-final,Y-15,2.165,9.160,yes,2,2,11.7,19.5
R-717,717,C1-final,Y-26,1.836,9.100,no,2,2,17.0,24.2
R-718,718,C1-final,Hs-17,1.495,11.406,no,2,2,624.8,1945.0
R-719,719,C1-final,Hn-12,2.697,11.051,yes,2,2,8.1,8.0
R-720,720,C1-final,Hn-39,1.399,9.455,no,2,2,191.3,22.9
R-721,721,C1-final,Hs-18,0.452,9.219,no,2,2,19148.9,127658.3
R-722,722,C1-final,Hs-1,2.644,10.519,yes,2,2,17.3,29.7
R-723,723,C1-final,Hs-2,2.772,10.342,yes,2,2,228.9,24.2
R-724,724,C1-final,Hs-5,0.729,8.687,no,2,2,1.1,17.8
R-725,725,C1-final,Y-36,2.091,8.923,yes,2,2,946.1,9.6
R-726,726,C1-final,Y-10,1.133,9.514,no,2,2,1275.8,1507.1
R-727,727,C1-final,Hs-16,2.006,10.046,yes,2,2,341.9,21.8
R-728,728,C1-final,Y-38,2.112,9.751,yes,2,2,9.6,8.2
R-729,729,C1-final,Hn-16,1.591,10.224,no,2,2,19.3,22.1
R-730,730,C1-final,Y-22,0.516,8.864,no,2,2,23451.4,156342.9
R-731,731,C1-final,Hn-37,2.165,10.046,yes,2,2,10.1,23.1
R-732,732,C1-final,Y-40,0.899,9.160,no,2,2,13.7,21.7
R-733,733,C1-final,Y-21,1.453,9.573,no,2,2,1665.1,12.9
R-734,734,C1-final,Y-6,1.346,11.288,no,2,2,440.9,13.5
R-735,735,C1-final,Hn-18,1.740,10.460,no,2,2,393.8,13.9
R-736,736,C1-final,Hn-19,0.261,8.982,no,2,2,30.0,49.5
R-737,737,C1-final,Hs-20,2.708,10.401,yes,2,2,586.4,1014.9
R-738,738,C1-final,Hs-6,1.591,10.342,no,2,2,895.3,1006.0
R-739,739,C1-final,Hn-10,,9.573,no,0,2,10.2,16.5
R-740,740,C1-final,Hn-11,1.144,9.573,no,2,2,744.7,13.6
R-741,741,C2-new,Hs-4,1.612,9.100,no,2,2,0.3,1027.5
R-742,742,C2-new,Y-12,1.750,7.918,no,2,2,0.3,1028.4
R-743,743,C2-new,Y-22,0.984,9.041,no,2,2,23451.4,156342.9
R-744,744,C2-new,Y-16,0.984,9.692,no,2,2,15837.4,105445.8
R-745,745,C2-new,Hn-20,36.277,55.391,yes,2,2,5295.1,34485.3
R-746,746,C2-new,Y-17,39.363,56.633,no,2,2,7111.0,47406.7
R-747,747,C2-new,Hn-15,0.197,8.568,no,2,2,21589.6,143930.8
R-748,748,C2-new,Y-1,0.144,7.918,no,2,2,14714.0,98091.7
R-749,749,C2-new,Hn-6,0.931,9.455,no,1,2,13180.4,87867.8
R-750,750,C2-new,Hs-5,1.250,8.509,no,2,2,1.1,17.8
R-751,751,C2-new,Hs-13,9.294,16.550,yes,2,2,4902.4,32318.0
R-752,752,C2-new,Y-5,4.889,11.347,yes,2,2,37.0,49.2
R-753,753,C2-new,Hs-7,0.133,9.337,no,2,2,7.8,2034.2
R-754,754,C2-new,Y-20,1.112,9.751,no,2,2,1.1,19.3
R-755,755,C2-new,Hs-3,0.431,8.095,no,2,2,284.9,19.9
R-756,756,C2-new,Y-10,0.367,9.278,no,2,2,1275.8,1507.1
R-757,757,C2-new,Y-11,0.346,7.800,no,2,2,517.1,21.2
R-758,758,C2-new,Y-24,40.597,44.277,no,2,2,6299.3,41250.9
R-759,759,C2-new,Y-30,0.665,8.095,no,2,2,22101.6,147342.6
R-760,760,C2-new,Hs-17,0.655,7.800,no,2,2,624.8,1945.0
R-761,761,C2-new,Hs-18,1.218,8.509,no,2,2,19148.9,127658.3
R-762,762,C2-new,Y-32,1.506,9.219,no,2,2,348.9,30.1
R-763,763,C2-new,Y-13,2.027,9.278,yes,2,2,30.0,24.0
R-764,764,C2-new,Y-19,0.612,8.273,no,2,2,941.3,3282.1
R-765,765,C2-new,Hs-10,0.527,8.509,no,2,2,889.5,31.2
R-766,766,C2-new,Y-4,0.261,8.509,no,2,2,8.6,54.2
R-767,767,C2-new,Hs-15,1.123,8.184,no,4,4,11749.4,78349.1
R-768,768,C2-new,Hn-19,3.804,11.583,yes,2,2,30.0,49.5
R-769,769,C2-new,Hs-2,0.889,9.396,no,2,2,228.9,24.2
R-770,770,C2-new,Hs-1,1.868,9.160,no,2,2,17.3,29.7
R-771,771,C2-new,Y-36,1.272,7.859,no,2,2,946.1,9.6
R-772,772,C2-new,Hn-18,0.910,8.627,no,2,2,393.8,13.9
R-773,773,C2-new,Hn-11,1.729,8.982,no,2,2,744.7,13.6
R-774,774,C2-new,Hn-39,0.857,8.864,no,2,2,191.3,22.9
R-775,775,C2-new,Y-34,0.538,9.278,no,2,4,502.2,9.2
R-776,776,C2-new,Y-6,0.814,10.401,no,2,2,440.9,13.5
R-777,777,C2-new,Y-25,1.399,8.095,no,2,2,1516.3,8.7
R-778,778,C2-new,Hn-8,2.751,9.928,yes,2,2,13.1,22.3
R-779,779,C2-new,Hn-17,1.463,9.337,no,2,2,537.0,18.8
R-780,780,C2-new,Hn-37,2.059,10.756,yes,2,2,10.1,23.1
R-781,781,C2-new,Y-40,4.208,13.712,yes,2,2,13.7,21.7
R-782,782,C2-new,Hn-12,1.059,9.455,no,2,2,8.1,8.0
R-783,783,C2-new,Hn-16,1.272,8.332,no,2,2,19.3,22.1
R-784,784,C2-new,Y-23,1.836,9.573,no,2,2,41.9,31.8
R-785,785,C2-new,Y-3,0.814,9.219,no,2,2,17.3,21.8
R-786,786,C2-new,Hn-10,1.740,11.288,no,2,2,10.2,16.5
R-787,787,C2-new,Y-9,1.218,9.573,no,2,2,1640.3,10.1
R-788,788,C2-new,Y-21,1.516,9.337,no,2,2,1665.1,12.9
R-789,789,C2-new,Hn-9,2.197,8.923,yes,2,2,27.3,27.4
R-790,790,C2-new,Y-15,1.782,8.155,no,2,2,11.7,19.5
R-791,791,C2-new,Y-18,1.729,7.445,no,2,2,678.1,27.3
R-792,792,C2-new,Hs-20,1.527,9.692,no,2,2,586.4,1014.9
R-793,793,C2-new,Hs-14,1.570,10.165,no,2,2,2668.8,16.8
R-794,794,C2-new,Hs-6,1.516,9.278,no,2,2,895.3,1006.0
R-795,795,C2-new,Hs-16,2.272,9.100,yes,2,2,341.9,21.8
R-796,796,C2-new,Y-7,2.123,8.864,yes,2,2,472.1,19.8
R-797,797,C2-new,Y-38,1.378,8.923,no,2,2,9.6,8.2
R-798,798,C2-new,Y-39,1.218,,no,2,0,69.7,15.0
R-799,799,C2-new,Hs-12,1.378,9.928,no,2,2,18.1,16.3
R-800,800,C2-new,Y-26,2.059,10.638,yes,2,2,17.0,24.2
