plate,is_lab,final_date,days_since_install,photon_cum_rem,sigma_photon_rem,neutron_cum_rem,sigma_neutron_rem,photon_cum_gy,n_measurements
Hs-1,False,2026-01-12,367.0,1729.8200000000002,0.0,29.730000000000004,0.0,17.2982,6
Hs-2,False,2026-01-12,367.0,22886.257,1372.5600000000009,24.23,0.0,228.86257,6
Hs-3,False,2026-01-12,367.0,28490.276,1766.2399999999984,19.86,0.0,284.90276,6
Hs-4,False,2026-01-12,367.0,31.566,0.0,1027.5200000000002,0.0,0.31566,8
Hs-5,False,2026-01-12,367.0,114.70199999999998,0.0,17.759999999999998,0.0,1.14702,8
Hn-6,False,2026-01-12,367.0,1318041.1363333333,223909.624454865,87867.83155555555,14927.308296991001,13180.411363333333,7
Hs-6,False,2026-01-08,363.0,89529.88299999999,5834.67870592629,1005.97,0.0,895.2988299999998,8
Hs-7,False,2026-01-12,367.0,780.5179999999999,0.0,2034.2500000000002,0.0,7.805179999999999,8
Hn-8,False,2026-01-08,363.0,1307.5040000000001,0.0,22.279999999999998,0.0,13.075040000000001,7
Hn-9,False,2026-01-08,363.0,2730.6290000000004,500.0,27.410000000000004,0.0,27.306290000000004,7
Hn-10,False,2026-01-08,363.0,1019.5239999999999,0.0,16.490000000000002,0.0,10.195239999999998,8
Hs-10,False,2026-01-12,367.0,88946.863,10217.60660926152,31.159999999999997,0.0,889.46863,6
Hn-11,False,2026-01-08,363.0,74467.671,8534.125625651002,13.58,0.0,744.6767100000001,9
Hn-12,False,2026-01-08,363.0,812.3739999999999,0.0,8.04,0.0,8.12374,9
Hs-12,False,2026-01-08,363.0,1804.631,0.0,16.33,0.0,18.046310000000002,8
Hs-13,False,2026-01-12,367.0,490241.9849999999,38633.8935504727,32318.052,2569.2089033648467,4902.419849999999,7
Hs-14,False,2026-01-08,363.0,266883.67100000003,244894.46999820435,16.84,0.0,2668.8367100000005,8
Hn-15,False,2026-01-12,367.0,2158962.0066666664,269750.8497418989,143930.79844444446,17983.38998279326,21589.620066666663,10
Hs-15,False,2026-01-12,367.0,1174942.1263333336,199582.33743529953,78349.08088888889,13305.489162353304,11749.421263333335,9
Hn-16,False,2026-01-08,363.0,1932.0320000000002,0.0,22.130000000000003,0.0,19.320320000000002,8
Hs-16,False,2026-01-08,363.0,34190.585,1815.8399999999988,21.750000000000004,0.0,341.90585,8
Hn-17,False,2026-01-08,363.0,53699.044,9019.20407423151,18.84,0.0,536.99044,8
Hs-17,False,2026-01-12,367.0,62483.217,3337.68,1945.02,58.015999999999984,624.83217,6
Hn-18,False,2026-01-08,363.0,39383.882000000005,9176.890453003018,13.910000000000002,0.0,393.83882000000006,7
Hs-18,False,2026-01-12,367.0,1914886.0806666666,221741.8097426489,127658.28177777775,14782.787316176595,19148.860806666667,7
Hn-19,False,2026-01-12,367.0,3003.029000000001,0.0,49.510000000000005,0.0,30.030290000000008,8
Hn-20,False,2026-01-12,367.0,529510.264,41263.65797848824,34485.325333333334,2618.974531899216,5295.10264,8
Hs-20,False,2026-01-08,363.0,58635.88799999999,7351.190458962286,1014.8499999999999,0.0,586.3588799999999,8
Hn-37,False,2026-01-08,363.0,1008.6679999999999,0.0,23.06,0.0,10.08668,7
Hn-39,False,2026-01-08,363.0,19129.843,691.5200000000002,22.869999999999997,0.0,191.29843000000002,8
Y-1,False,2026-01-12,367.0,1471398.8,170753.29958488152,98091.72666666668,11383.553305658768,14713.988000000001,7
Y-3,False,2026-01-08,363.0,1728.798,0.0,21.770000000000003,0.0,17.28798,7
Y-4,False,2026-01-12,367.0,859.631,0.0,54.169999999999995,0.0,8.59631,8
Y-5,False,2026-01-12,367.0,3704.5429999999997,500.0,49.230000000000004,0.0,37.045429999999996,7
Y-6,False,2026-01-08,363.0,44087.066000000006,8751.678952925293,13.489999999999998,0.0,440.87066000000004,8
Y-7,False,2026-01-08,363.0,47207.029,10340.99054781573,19.800000000000004,0.0,472.07029000000006,8
Y-9,False,2026-01-08,363.0,164028.409,29197.58809952383,10.129999999999999,0.0,1640.28409,8
Y-10,False,2026-01-12,367.0,127580.54000000001,16533.54844036652,1507.1273333333334,55.178666666666686,1275.8054000000002,7
Y-11,False,2026-01-12,367.0,51711.703,1943.6000000000017,21.200000000000003,0.0,517.11703,6
Y-12,False,2026-01-12,367.0,31.251000000000005,0.0,1028.4299999999998,0.0,0.31251000000000007,8
Y-13,False,2026-01-12,367.0,2998.3590000000004,0.0,24.04,0.0,29.983590000000003,6
Y-15,False,2026-01-08,363.0,1173.99,0.0,19.52,0.0,11.7399,7
Y-16,False,2026-01-12,367.0,1583734.6686666666,267915.9882059416,105445.75111111111,17845.460547062772,15837.346686666666,9
Y-17,False,2026-01-12,367.0,711100.6693333333,107476.09299522387,47406.70955555555,7165.072866348258,7111.006693333333,8
Y-18,False,2026-01-08,363.0,67814.245,7529.520726876499,27.3,0.0,678.1424499999999,8
Y-19,False,2026-01-12,367.0,94127.64099999999,8864.051887893515,3282.103333333333,335.8464844386498,941.2764099999999,6
Y-20,False,2026-01-12,367.0,107.311,0.0,19.29,0.0,1.07311,8
Y-21,False,2026-01-08,363.0,166508.36700000003,50372.51009492028,12.870000000000001,0.0,1665.0836700000002,8
Y-22,False,2026-01-12,367.0,2345143.281,295042.4036925889,156342.88333333336,19669.49357950593,23451.43281,9
Y-23,False,2026-01-08,363.0,4188.529,117.03999999999996,31.8,0.0,41.885290000000005,7
Y-24,False,2026-01-12,367.0,629926.1323333334,90282.98302347591,41250.91488888889,5885.510868231727,6299.261323333334,7
Y-25,False,2026-01-08,363.0,151626.26433333333,52393.27724693378,8.72,0.0,1516.2626433333332,8
Y-26,False,2026-01-08,363.0,1702.3239999999998,0.0,24.229999999999997,0.0,17.023239999999998,7
Y-30,False,2026-01-12,367.0,2210156.321666667,231393.9670178867,147342.6211111111,15426.264467859115,22101.56321666667,7
Y-32,False,2026-01-12,367.0,34889.765,2447.1199999999985,30.130000000000003,0.0,348.89765,6
Y-34,False,2026-01-08,363.0,50220.001,1627.9199999999996,9.160000000000002,0.0,502.20000999999996,8
Y-36,False,2026-01-08,363.0,94606.70499999999,29132.5200407422,9.55,0.0,946.0670499999999,8
Y-37,True,2024-11-07,0.0,0.0,0.0,0.0,0.0,0.0,1
Y-38,False,2026-01-08,363.0,962.783,0.0,8.15,0.0,9.627830000000001,8
Y-39,False,2026-01-08,363.0,6965.507,787.3599999999999,15.03,0.0,69.65507,8
Y-40,False,2026-01-08,363.0,1371.6600000000003,0.0,21.730000000000004,0.0,13.716600000000003,7
