report_date,n_controls,n_wholebody,n_nonzero_body,n_saturated,n_exceeded_1000rad,max_body_mrem,max_neutron_mrem,monitoring_periods,n_with_location
20250227,4,70,17,0,2,208565,360,"H1,H2",0
20250306,0,20,12,6,10,109396,19510,H1,0
20250331,0,145,114,29,37,851167,13070,H1,5
20250502,0,140,105,35,35,574139,16130,H1,20
20250516,0,66,50,16,16,280976,5310,H1,6
20250624,0,112,84,28,65,979800,15190,H1,22
20250804,4,807,124,36,91,1024700,13760,"H1,H2",25
20250819,0,30,22,8,19,948832,10330,H2,0
20250915,0,60,40,20,39,750019,6080,H2,9
20250930,0,59,44,15,36,227779,15640,H2,3
20251024,0,59,44,15,36,227779,15640,H2,3
20260320,4,97,53,0,0,391596,30,H2,0
