plate,region,ai_photon_rem,ai_photon_gy,osl_photon_mrem,osl_body_mrem,n_saturated,is_lower_bound,ratio_ai_osl,status,rod_sum_rem,n_valid_rods
Y-1,South Linac,1471398.8,14713.988000000001,117599.0,11149034.0,11,True,131.97545186426018,SATURATED(11),2764831.0,22
Y-3,SE Arc,1728.798,17.28798,1728384.0,2750568.0,1,True,0.628523999406668,SATURATED(1),0,0
Y-4,North Linac,859.631,8.59631,675746.0,913801.0,0,False,1.2721214775966116,UNSATURATED,726149.0,1
Y-5,South Linac,3704.5429999999997,37.045429999999996,1090596.0,8468608.0,6,True,0.4374441466649536,SATURATED(6),0,0
Y-6,NW Arc,44087.066000000006,440.87066000000004,1110931.0,6125186.0,5,True,7.1976697523960915,SATURATED(5),52624.0,6
Y-7,NE Arc,47207.029,472.07029000000006,1526744.0,6547939.0,5,True,7.2094484997493105,SATURATED(5),54910.0,6
Y-9,NE Arc,164028.409,1640.28409,501300.0,7534059.0,7,True,21.771585409670937,SATURATED(7),282059.0,11
Y-10,SW Arc,127580.54000000001,1275.8054000000002,522488.0,6566550.0,6,True,19.428853812123567,SATURATED(6),208905.0,10
Y-11,SW Arc,51711.703,517.11703,513957.0,6544923.0,6,True,7.901040699791273,SATURATED(6),151049.0,11
Y-12,Labyrinth,31.251000000000005,0.31251000000000007,31251.0,59681.0,0,False,1.0000000000000002,UNSATURATED,354589.0,2
Y-13,SW Arc,2998.3590000000004,29.983590000000003,2998359.0,3022399.0,0,False,1.0000000000000002,UNSATURATED,4799.0,2
Y-15,SE Arc,1173.99,11.7399,1173990.0,1193510.0,0,False,1.0,UNSATURATED,0,0
Y-16,North Linac,1583734.6686666666,15837.346686666666,50709.0,13143598.0,13,True,120.49475863965608,SATURATED(13),2768617.0,23
Y-17,North Linac,711100.6693333333,7111.006693333333,114.0,13000114.0,13,True,54.699571814011264,SATURATED(13),1289304.0,24
Y-18,NE Arc,67814.245,678.1424499999999,875361.0,6903455.0,6,True,9.82323271463347,SATURATED(6),144640.0,10
Y-19,SW Arc,94127.64099999999,941.2764099999999,646143.0,6657281.0,6,True,14.139051814096474,SATURATED(6),172447.0,10
Y-20,Labyrinth,107.311,1.07311,107311.0,126601.0,0,False,1.0,UNSATURATED,0,0
Y-21,NE Arc,166508.36700000003,1665.0836700000002,494551.0,7508147.0,7,True,22.17702543650251,SATURATED(7),217906.0,10
Y-22,North Linac,2345143.281,23451.43281,43623.0,13078025.0,13,True,179.31937589964846,SATURATED(13),4198633.0,24
Y-23,SE Arc,4188.529,41.885290000000005,1027440.0,4299449.0,3,True,0.9742013453351814,SATURATED(3),2921.0,1
Y-24,South Linac,629926.1323333334,6299.261323333334,39.0,14019799.0,14,True,44.93118141945782,SATURATED(14),1080960.0,25
Y-25,NW Arc,151626.26433333333,1516.2626433333332,519119.0,6528261.0,6,True,23.226133932655774,SATURATED(6),202771.0,11
Y-26,SE Arc,1702.3239999999998,17.023239999999998,1411640.0,1726554.0,0,False,1.2059193562097983,UNSATURATED,0,0
Y-30,South Linac,2210156.321666667,22101.56321666667,51023.0,11181769.0,11,True,197.65712577917384,SATURATED(11),4399017.0,24
Y-32,SW Arc,34889.765,348.89765,1160210.0,6190535.0,5,True,5.635985419676975,SATURATED(5),80873.0,7
Y-34,NW Arc,50220.001,502.20000999999996,559645.0,6569021.0,6,True,7.644974951366422,SATURATED(6),100285.0,8
Y-36,NW Arc,94606.70499999999,946.0670499999999,361079.0,6371355.0,6,True,14.848757446414456,SATURATED(6),122198.0,9
Y-38,NW Arc,962.783,9.627830000000001,961201.0,970933.0,0,False,1.0016458576301939,UNSATURATED,3581.0,1
Y-39,NE Arc,6965.507,69.65507,2152023.0,3197657.0,1,True,2.1783158731533745,SATURATED(1),4783.0,1
Y-40,SE Arc,1371.6600000000003,13.716600000000003,1319775.0,1393390.0,0,False,1.0393135193498895,UNSATURATED,0,0
